;Nota.Padronizada...Doutores;media_p;media_pf
MEDICINA;3,73;2,3787;2,5861
ENFERMAGEM;4,571;2,8834;3,5704
NUTRIÇÃO;4,705;3,7643;3,9627
FISIOTERAPIA;4,861;3,3082;3,9627
BIOMEDICINA;4,684;4,3923;4,4953
EDUCAÇÃO FÍSICA (BACHARELADO);4,482;3,3162;3,9345
ENGENHARIA CIVIL;4,071;2,8449;3,04
ENGENHARIA ELÉTRICA;4,259;3,531;3,5444
ENGENHARIA MECÂNICA;4,276;3,3326;3,3423
ENGENHARIA DE ALIMENTOS;4,142;3,5534;3,5202
ENGENHARIA QUÍMICA;4,423;4,0302;4,1331
ENGENHARIA DE PRODUÇÃO;4,268;3,3791;3,5466
ENGENHARIA AMBIENTAL;4,391;3,6752;3,8516
