;Nota.Padronizada...Oportunidade.de.Ampliação.da.Formação;media_p;media_pf
MEDICINA;3,02;2,7278;2,7716
ENFERMAGEM;3,249;2,9856;2,9463
NUTRIÇÃO;2,98;2,8313;2,8373
FISIOTERAPIA;3,33;2,9622;2,9408
BIOMEDICINA;2,714;2,9467;2,8152
EDUCAÇÃO FÍSICA (BACHARELADO);2,989;2,7976;2,7847
ENGENHARIA CIVIL;2,55;2,7275;2,7709
ENGENHARIA ELÉTRICA;2,724;3,1153;3,154
ENGENHARIA MECÂNICA;3,281;3,1362;3,1664
ENGENHARIA DE ALIMENTOS;2,747;2,7318;2,6746
ENGENHARIA QUÍMICA;3,696;2,9444;2,9612
ENGENHARIA DE PRODUÇÃO;2,574;2,8641;2,9209
ENGENHARIA AMBIENTAL;2,679;2,8952;2,9748
