;Nota.Padronizada...Organização.Didático.Pedagógica;media_p;media_pf
MEDICINA;2,472;2,4534;2,4003
ENFERMAGEM;3,41;3,0086;2,839
NUTRIÇÃO;3,025;2,4897;2,5477
FISIOTERAPIA;3,773;2,6283;2,5295
BIOMEDICINA;1,958;2,2056;1,9605
EDUCAÇÃO FÍSICA (BACHARELADO);2,684;2,1971;2,1184
ENGENHARIA CIVIL;1,996;2,2889;2,2774
ENGENHARIA ELÉTRICA;2,238;2,268;2,3318
ENGENHARIA MECÂNICA;2,455;2,3651;2,4089
ENGENHARIA DE ALIMENTOS;2,3;2,2872;2,246
ENGENHARIA QUÍMICA;3,712;2,3283;2,2452
ENGENHARIA DE PRODUÇÃO;2,101;2,2212;2,271
ENGENHARIA AMBIENTAL;1,699;2,2176;2,2077
