;ranking_br;ranking_regiao;ranking_uf;CPC_Contínuo;CPC_Faixa
MEDICINA;69;31;13;3,334;4
ENFERMAGEM;26;8;3;3,753;4
NUTRIÇÃO;78;39;13;3,455;4
FISIOTERAPIA;9;3;2;4,04;5
BIOMEDICINA;32;14;2;3,467;4
EDUCAÇÃO FÍSICA (BACHARELADO);51;27;7;3,54;4
ENGENHARIA CIVIL;76;28;12;3,432;4
ENGENHARIA ELÉTRICA;64;37;15;3,374;4
ENGENHARIA MECÂNICA;54;31;11;3,125;4
ENGENHARIA DE ALIMENTOS;28;11;5;3,294;4
ENGENHARIA QUÍMICA;19;10;5;3,526;4
ENGENHARIA DE PRODUÇÃO;94;55;11;3,309;4
ENGENHARIA AMBIENTAL;115;57;23;3,024;4
