;ENADE (Contínuo);ENADE (Faixa);media_p;media_pf
MEDICINA;3,1925;3,1925;3,3105;3,47
ENFERMAGEM;3,9311;3,9311;3,2295;3,5002
NUTRIÇÃO;3,2705;3,2705;3,6429;3,8243
FISIOTERAPIA;4,5864;4,5864;3,5364;3,9658
BIOMEDICINA;3,8827;3,8827;3,3694;3,4081
EDUCAÇÃO FÍSICA (BACHARELADO);3,6198;3,6198;3,1027;3,5312
ENGENHARIA CIVIL;3,8408;3,8408;3,5939;3,7487
ENGENHARIA ELÉTRICA;3,4398;3,4398;3,0841;3,1762
ENGENHARIA MECÂNICA;3,0531;3,0531;3,0683;3,1347
ENGENHARIA DE ALIMENTOS;3,3511;3,3511;2,8178;2,8061
ENGENHARIA QUÍMICA;3,3309;3,3309;3,1261;3,1798
ENGENHARIA DE PRODUÇÃO;3,9172;3,9172;3,334;3,5708
ENGENHARIA AMBIENTAL;3,0317;3,0317;3,1088;3,3078
