;IDD_continuo;IDD_faixa;média_p;média_pf
ENFERMAGEM;2.916;3;2.7332;2.6932
BIOMEDICINA;2.6461;3;2.1802;2.1426
NUTRIÇÃO;2.456;3;2.6546;2.7609
FISIOTERAPIA;3.1163;4;2.6795;2.854
EDUCAÇÃO FÍSICA (BACHARELADO);2.7928;3;2.3549;2.4131
ENGENHARIA ELÉTRICA;2.7434;3;2.8016;2.8603
ENGENHARIA MECÂNICA;2.0927;3;2.3818;2.4364
ENGENHARIA CIVIL;2.7902;3;2.9529;3.0002
ENGENHARIA AMBIENTAL;2.0333;3;2.5187;2.5924
ENGENHARIA DE ALIMENTOS;2.6322;3;2.6651;2.6665
ENGENHARIA DE PRODUÇÃO;2.3624;3;2.5808;2.6466
ENGENHARIA QUÍMICA;2.5282;3;2.6441;2.6713
MEDICINA;2.9218;3;3.0829;3.1398
